date,r
12/8/22,3.83
12/9/22,3.83
12/12/22,3.83
12/13/22,3.83
12/14/22,4.33
12/15/22,4.33
12/16/22,4.33
12/19/22,4.33
12/20/22,4.33
12/21/22,4.33
12/22/22,4.33
12/23/22,4.33
12/27/22,4.33
12/28/22,4.33
12/29/22,4.33
12/30/22,4.33
1/3/23,4.33
1/4/23,4.33
1/5/23,4.33
1/6/23,4.33
1/9/23,4.33
1/10/23,4.33
1/11/23,4.33
1/12/23,4.33
1/13/23,4.33
1/17/23,4.33
1/18/23,4.33
1/19/23,4.33
1/20/23,4.33
1/23/23,4.33
1/24/23,4.33
1/25/23,4.33
1/26/23,4.33
1/27/23,4.33
1/30/23,4.33
1/31/23,4.33
2/1/23,4.66
2/2/23,4.66
2/3/23,4.66
2/6/23,4.66
2/7/23,4.66
2/8/23,4.66
2/9/23,4.66
2/10/23,4.66
2/13/23,4.66
2/14/23,4.66
2/15/23,4.66
2/16/23,4.66
2/17/23,4.66
2/21/23,4.66
2/22/23,4.66
2/23/23,4.66
2/24/23,4.66
2/27/23,4.66
2/28/23,4.66
3/1/23,4.66
3/2/23,4.66
3/3/23,4.66
3/6/23,4.66
3/7/23,4.66
3/8/23,4.66
3/9/23,4.66
3/10/23,4.66
3/13/23,4.66
3/14/23,4.66
3/15/23,4.66
3/16/23,4.66
3/17/23,4.66
3/20/23,4.66
3/21/23,4.66
3/22/23,4.66
3/23/23,5
3/24/23,5
3/27/23,5
3/28/23,5
3/29/23,5
3/30/23,5
3/31/23,5
4/3/23,5
4/4/23,5
4/5/23,5
4/6/23,5
4/10/23,5
4/11/23,5
4/12/23,5
4/13/23,5
4/14/23,5
4/17/23,5
4/18/23,5
4/19/23,5
4/20/23,5
4/21/23,5
4/24/23,5
4/25/23,5
4/26/23,5
4/27/23,5
4/28/23,5
5/1/23,5
5/2/23,5
5/3/23,5
5/4/23,5
5/5/23,5
5/8/23,5
5/9/23,5
5/10/23,5
5/11/23,5
5/12/23,5
5/15/23,5
5/16/23,5
5/17/23,5
5/18/23,5
5/19/23,5
5/22/23,5
5/23/23,5
5/24/23,5
5/25/23,5
5/26/23,5
5/30/23,5
5/31/23,5
6/1/23,5
6/2/23,5
6/5/23,5
6/6/23,5
6/7/23,5
6/8/23,5
6/9/23,5
6/12/23,5
6/13/23,5
6/14/23,5
6/15/23,5
6/16/23,5
6/20/23,5
6/21/23,5
6/22/23,5
6/23/23,5
6/26/23,5
6/27/23,5
6/28/23,5
6/29/23,5
6/30/23,5
7/3/23,5
7/5/23,5
7/6/23,5
7/7/23,5
7/10/23,5
7/11/23,5
7/12/23,5
7/13/23,5
7/14/23,5
7/17/23,5
7/18/23,5
7/19/23,5
7/20/23,5
7/21/23,5
7/24/23,5
7/25/23,5
7/26/23,5
7/27/23,5
7/28/23,5
7/31/23,5
8/1/23,5
8/2/23,5
8/3/23,5
8/4/23,5
8/7/23,5
8/8/23,5
8/9/23,5
8/10/23,5
